user,date,text,latitude,longitude;;
JLH062314,Sat Aug 10 23:55:48 +0000 2019,b'End of the night #selfie! Dont do many of these coz I hate them but decided to take one and post anyway as didnt ta? https://t.co/ylnOipAumc',51.50711486,-0.12731805;;
TKbrancoo,Sat Aug 10 23:55:29 +0000 2019,b'E.P Will Be Availible on the 20/08/19 Make Sure You check It Out and Let Me Know Your Thoughts #M3MB3RSONLY @ Londo? https://t.co/1ESKaMdf2x',51.50711486,-0.12731805;;
Amr1ta,Sat Aug 10 23:50:54 +0000 2019,b'My jumpsuit is better than yours ?\n\n#rockon #ohyes #outoutout #posing #smilingasalways #saturdayfun? https://t.co/KJtYaNdgyZ',51.50711486,-0.12731805;;
JudeSamuel_,Sat Aug 10 23:46:27 +0000 2019,b'Amazing Grading day. 16 black belts on the mat. 29 belts and an amazing amount of support and technical knowledge o? https://t.co/0se6o2tRM8',51.50711486,-0.12731805;;
KlevaKeys,Sat Aug 10 23:35:02 +0000 2019,b'REVIEW: Amateur At Play::: Out Now. #soulfulhouse #deephouse #afrohouse #classichouse #techhouse #djlife? https://t.co/HnorPuPCkf',51.50711486,-0.12731805;;
KingVvadi,Sat Aug 10 23:34:43 +0000 2019,b'BIG NEWS! SHARE &amp; TAG A FRIEND \n_________________________________\nHealing the Family Tree workshop\nComing to London? https://t.co/ZWK8doQzRX',51.50711486,-0.12731805;
"briepinnix,Sat Aug 10 21:29:57 +0000 2019,""b'the other side of the pond ?? @ London, United Kingdom https://t.co/B3FjIkcMO0'"",51.50711486,-0.12731805";;
"AfroFuturAffair,Sat Aug 10 21:28:15 +0000 2019,""b'Black Quantum Futurism ? D. Denenge Duyst-Akpem: High Priestess of the Intergalactic Federation, Special Envoy to M? https://t.co/GHOzTTITxg'"",51.506153,-0.13074585";;
"senakayadd,Sat Aug 10 21:26:00 +0000 2019,""b""""I'm at @DozoLondon in London https://t.co/v0acpJvmgi"""""",51.51330271,-0.1310141";;
Voiceunlocked1,Sat Aug 10 21:24:36 +0000 2019,b'Really enjoyed being on the judging panel for the The New Talent British International Youth Music Festival harrows? https://t.co/02ko6jRMDK',51.50711486,-0.12731805;;
chriso_1376,Sat Aug 10 21:24:33 +0000 2019,b'Missing this view ????????????????????????????? #chrisoandhislife #holidayblues #soho #gay #community #instagay? https://t.co/BnCvhnxJeJ',51.513,-0.131;;
markpatersonuk,Sat Aug 10 21:24:00 +0000 2019,b'I bloody LOVE seeing my mates in stuff. @RobCompton88 absolutely smashing out of the park in Matilda as he always d? https://t.co/QSKNsgBS5H',51.51363487,-0.12665135;;
divnic83,Sat Aug 10 21:22:31 +0000 2019,b'Going underground.... #tfl #undergroundrailroad #underground #coventgarden #london #londonundergroundphotography? https://t.co/RP9nizISr4',51.51198765,-0.12269497;;
"joshaaronr,Sat Aug 10 21:21:39 +0000 2019,""b'.@zacagawea_ @isaanate (at @VillageBarsoho in London, Greater London) https://t.co/uF0mO1G8kA'"",51.51255301,-0.13349094";;
zephyrzap,Sat Aug 10 21:21:21 +0000 2019,b'Reposting @lilyakos:\nMy August.....\n.\n.\n.\n.\n.\n.\nprilaga  #artistic_share #disegno #art #artist #art_we_inspire? https://t.co/zJ7L6qR2B5',51.50711486,-0.12731805;;
BernardBullen,Sat Aug 10 21:16:02 +0000 2019,b'Posted withrepost ? https://t.co/dvSOyVNTg4 Detr?s de c?maras ?\n.\nDESLIZA ?? para ver las?tres partes del v?deo.\n.? https://t.co/4Ly6TZ229I',51.50711486,-0.12731805;;
"THEINSANEBRIT,Sat Aug 10 21:15:57 +0000 2019,""b'In this weeks #foodreview I  try #dabombhotsauce #food #subscribe to #insanebritgaming @ London, United Kingdom https://t.co/00n5HboMWk'"",51.50711486,-0.12731805";;
